Code,System,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E.1,Type 2 Departments - Single Specialty.1,Type 3 Departments - Other A&E/Minor Injury Unit.1,Total Attendances < 4 hours,Type 1 Departments - Major A&E.2,Type 2 Departments - Single Specialty.2,Type 3 Departments - Other A&E/Minor Injury Unit.2,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission,Unnamed: 26,Unnamed: 27,Unnamed: 28
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,20567.0,1032.0,6323.0,27922.0,12065.0,1032.0,6276.0,19373.0,8502.0,0.0,47.0,8549.0,69.4%,58.7%,100.0%,99.3%,4647.0,0.0,0.0,4647.0,1068.0,5715.0,2407.0,1069.0,,,
QM7,NHS Hertfordshire And West Essex Integrated Care Board,26870.0,0.0,23971.0,50841.0,18394.0,0.0,23620.0,42014.0,8476.0,0.0,351.0,8827.0,82.6%,68.5%,-,98.5%,9147.0,0.0,3.0,9150.0,1393.0,10543.0,1713.0,275.0,,,
QOQ,NHS Humber And North Yorkshire Integrated Care Board,38708.0,350.0,31412.0,70470.0,22021.0,350.0,30144.0,52515.0,16687.0,0.0,1268.0,17955.0,74.5%,56.9%,100.0%,96.0%,16421.0,0.0,0.0,16421.0,4737.0,21158.0,4106.0,1337.0,,,
QJ2,NHS Derby And Derbyshire Integrated Care Board,29431.0,0.0,26609.0,56040.0,16767.0,0.0,26001.0,42768.0,12664.0,0.0,608.0,13272.0,76.3%,57.0%,-,97.7%,6306.0,0.0,16.0,6322.0,2214.0,8536.0,2296.0,537.0,,,
QKS,NHS Kent And Medway Integrated Care Board,58396.0,0.0,45138.0,103534.0,41348.0,0.0,43137.0,84485.0,17048.0,0.0,2001.0,19049.0,81.6%,70.8%,-,95.6%,11240.0,0.0,533.0,11773.0,2141.0,13914.0,4766.0,2336.0,,,
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",23461.0,2096.0,16815.0,42372.0,14971.0,2004.0,16726.0,33701.0,8490.0,92.0,89.0,8671.0,79.5%,63.8%,95.6%,99.5%,7237.0,7.0,0.0,7244.0,3922.0,11166.0,1917.0,592.0,,,
QJM,NHS Lincolnshire Integrated Care Board,18625.0,0.0,14152.0,32777.0,12898.0,0.0,13738.0,26636.0,5727.0,0.0,414.0,6141.0,81.3%,69.3%,-,97.1%,5141.0,0.0,0.0,5141.0,1016.0,6157.0,1889.0,1132.0,,,
QH8,NHS Mid And South Essex Integrated Care Board,28524.0,0.0,8415.0,36939.0,17065.0,0.0,8072.0,25137.0,11459.0,0.0,343.0,11802.0,68.1%,59.8%,-,95.9%,8908.0,0.0,125.0,9033.0,1270.0,10303.0,3130.0,793.0,,,
QMM,NHS Norfolk And Waveney Integrated Care Board,28248.0,0.0,11573.0,39821.0,18971.0,0.0,11562.0,30533.0,9277.0,0.0,11.0,9288.0,76.7%,67.2%,-,99.9%,5763.0,0.0,0.0,5763.0,2503.0,8266.0,2044.0,796.0,,,
QMJ,NHS North Central London Integrated Care Board,51050.0,6887.0,16798.0,74735.0,38021.0,6717.0,16060.0,60798.0,13029.0,170.0,738.0,13937.0,81.4%,74.5%,97.5%,95.6%,9403.0,3.0,141.0,9547.0,1492.0,11039.0,3565.0,2074.0,,,
QRV,NHS North West London Integrated Care Board,52786.0,3904.0,51356.0,108046.0,35923.0,3865.0,50410.0,90198.0,16863.0,39.0,946.0,17848.0,83.5%,68.1%,99.0%,98.2%,15694.0,0.0,0.0,15694.0,1969.0,17663.0,2718.0,467.0,,,
QPM,NHS Northamptonshire Integrated Care Board,22735.0,660.0,11544.0,34939.0,15119.0,647.0,11535.0,27301.0,7616.0,13.0,9.0,7638.0,78.1%,66.5%,98.0%,99.9%,4643.0,0.0,0.0,4643.0,796.0,5439.0,2406.0,1327.0,,,
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,25010.0,2003.0,15960.0,42973.0,14140.0,1829.0,14369.0,30338.0,10870.0,174.0,1591.0,12635.0,70.6%,56.5%,91.3%,90.0%,6607.0,0.0,1987.0,8594.0,4612.0,13206.0,2319.0,1477.0,,,
QKK,NHS South East London Integrated Care Board,43892.0,0.0,39785.0,83677.0,24932.0,0.0,38204.0,63136.0,18960.0,0.0,1581.0,20541.0,75.5%,56.8%,-,96.0%,9726.0,0.0,0.0,9726.0,1126.0,10852.0,3916.0,1217.0,,,
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board",11446.0,0.0,5840.0,17286.0,5165.0,0.0,5458.0,10623.0,6281.0,0.0,382.0,6663.0,61.5%,45.1%,-,93.5%,3693.0,0.0,145.0,3838.0,2287.0,6125.0,1915.0,1173.0,,,
QSL,NHS Somerset Integrated Care Board,12117.0,0.0,10428.0,22545.0,6310.0,0.0,10108.0,16418.0,5807.0,0.0,320.0,6127.0,72.8%,52.1%,-,96.9%,2642.0,0.0,0.0,2642.0,1658.0,4300.0,445.0,73.0,,,
QWE,NHS South West London Integrated Care Board,41823.0,0.0,20243.0,62066.0,28635.0,0.0,19661.0,48296.0,13188.0,0.0,582.0,13770.0,77.8%,68.5%,-,97.1%,8297.0,0.0,207.0,8504.0,1605.0,10109.0,3969.0,2228.0,,,
QF7,NHS South Yorkshire Integrated Care Board,47756.0,1360.0,13753.0,62869.0,34197.0,1341.0,13441.0,48979.0,13559.0,19.0,312.0,13890.0,77.9%,71.6%,98.6%,97.7%,13527.0,0.0,495.0,14022.0,5694.0,19716.0,3082.0,145.0,,,
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,15949.0,509.0,9210.0,25668.0,7467.0,509.0,9080.0,17056.0,8482.0,0.0,130.0,8612.0,66.4%,46.8%,100.0%,98.6%,4933.0,0.0,0.0,4933.0,1081.0,6014.0,2028.0,820.0,,,
QJG,NHS Suffolk And North East Essex Integrated Care Board,19817.0,0.0,14606.0,34423.0,12786.0,0.0,13762.0,26548.0,7031.0,0.0,844.0,7875.0,77.1%,64.5%,-,94.2%,7205.0,0.0,1.0,7206.0,650.0,7856.0,2230.0,877.0,,,
QXU,NHS Surrey Heartlands Integrated Care Board,26470.0,0.0,10536.0,37006.0,15718.0,0.0,10433.0,26151.0,10752.0,0.0,103.0,10855.0,70.7%,59.4%,-,99.0%,7852.0,0.0,0.0,7852.0,2563.0,10415.0,2726.0,1050.0,,,
QNX,NHS Sussex Integrated Care Board,41261.0,1688.0,24700.0,67649.0,26108.0,1653.0,24152.0,51913.0,15153.0,35.0,548.0,15736.0,76.7%,63.3%,97.9%,97.8%,11717.0,31.0,149.0,11897.0,2870.0,14767.0,2109.0,1063.0,,,
QUA,NHS Black Country Integrated Care Board,43652.0,2920.0,28996.0,75568.0,30618.0,2726.0,28434.0,61778.0,13034.0,194.0,562.0,13790.0,81.8%,70.1%,93.4%,98.1%,13973.0,0.0,104.0,14077.0,7720.0,21797.0,4546.0,1362.0,,,
QWO,NHS West Yorkshire Integrated Care Board,67471.0,2235.0,24490.0,94196.0,48629.0,2235.0,24120.0,74984.0,18842.0,0.0,370.0,19212.0,79.6%,72.1%,100.0%,98.5%,14252.0,0.0,192.0,14444.0,4549.0,18993.0,6886.0,1419.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
